X,Y,FID,OID_,TIPOCEN2,TIPOVIAL,NOMVIA,NUMERO,MUNICIPIO,CODMUN,UTM_X,UTM_Y
-3.5988841272791,40.0318136223609,24,24,Centro de Salud Aranjuez,Calle,Abastos,      0,Aranjuez,013,448903,4431460
-3.61283636398316,40.0258123103061,25,23,Centro de Salud Las Olivas,Paseo,Deleite,     30,Aranjuez,013,447708,4430802
-3.44553653356371,40.3106997055025,26,26,Centro de Salud Arganda,Calle,Felicidad,      2,Arganda del Rey,014,462142,4462338
-3.43262969212876,40.2964599635351,27,25,Centro de Salud Arganda del Rey,Camino,del Molino,      0,Arganda del Rey,014,463231,4460752
-3.8833296470976,40.4039967497382,28,27,Centro de Salud Condes de Barcelona,Calle,Ronda,     10,Boadilla del Monte,022,425045,4472973
-3.63579365369046,40.9930393513529,29,28,Centro de Salud Buitrago de Lozoya,Paseo,del R,     10,Buitrago de Lozoya,027,446523,4538179
-4.43710409513174,40.3002076546066,30,29,Centro de Salud Cadalso de los Vidrios,Calle,Doctor MenSndez,      5,Cadalso de los Vidrios,031,377866,4462069
-3.38077325512384,40.3378056266771,31,30,Centro de Salud Campo Real,Calle,de las Escuelas,      1,Campo Real,033,467658,4465321
-4.05087793352953,40.7411862639279,32,31,Centro de Salud Cercedilla,Avenida,de los Toreros,      7,Cercedilla,038,411274,4510558
-3.61576653652309,40.1586158462846,33,32,Centro de Salud Ciempozuelos,Calle,Padre Benito Menni,      0,Ciempozuelos,040,447560,4445544
-4.00155994459108,40.6265679197659,34,34,Centro de Salud Collado Villalba-estaci,Calle,Madro,      5,Collado Villalba,047,415293,4497786
-3.9944170860709,40.6440072414795,35,33,Centro de Salud Collado Villalba-pueblo,Calle,Fuente del Alamo,     10,Collado Villalba,047,415919,4499715
-4.01188781877933,40.6269553400274,36,35,Centro de Salud Collado Villalba-Sierra de Guadarrama,Calle,Ignacio Gonzllez Serrano,     27,Collado Villalba,047,414420,4497839
-3.39165783169727,40.114362825904,37,36,Centro de Salud Colmenar de Oreja,Calle,Alegas,      1,Colmenar de Oreja,043,466624,4440524
-3.77408208600205,40.6632523799059,38,38,Centro de Salud Colmenar Viejo Norte,Plaza,de los Reos,      1,Colmenar Viejo,045,434568,4501664
-3.76208210045256,40.6608097854541,39,37,Centro de Salud Colmenar Viejo Sur,Calle,Doctor Cecilio de la Morena Arranz,      3,Colmenar Viejo,045,435580,4501384
-3.54142928246785,40.4199322273815,40,41,Centro de Salud Ciudad San Pablo,Avenida,Madrid,     11,Coslada,049,454068,4474508
-3.56325018914795,40.4286658795015,41,42,Centro de Salud Doctor Tamames,Calle,Alameda,      1,Coslada,049,452223,4475489
-3.56751033016849,40.4193566949919,42,43,Centro de Salud El Puerto,Calle,Ocelno PacSfico,      3,Coslada,049,451855,4474458
-3.552032892673,40.4207379472685,43,39,Centro de Salud Jaime Vera,Avenida,Espaia,      0,Coslada,049,453169,4474603
-3.54256666833606,40.4250530609021,44,40,Centro de Salud Valleaguado,Avenida,Principes de Espaaa,     30,Coslada,049,453975,4475077
-3.8390881028657,40.1869797826129,45,44,Centro de Salud Dr. Aguilar,Calle,San Isidro,      5,Cubas de la Sagra,050,428571,4448848
-3.58143415924905,40.7376594565399,46,45,Centro de Salud El Molar,Calle,San Isidro,      0,El Molar,086,450907,4509798
-3.79317225553876,40.2900183520043,47,49,Centro de Salud Alicante,Calle,Alicante,      3,Fuenlabrada,058,432582,4460249
-3.79610272544255,40.2941154304489,48,50,Centro de Salud Castilla la Nueva,Calle,Teruel,      4,Fuenlabrada,058,432337,4460706
-3.78914228445559,40.2894693203589,49,48,Centro de Salud Cuzco,Calle,Cuzco,      4,Fuenlabrada,058,432924,4460185
-3.80884136866975,40.2948108730739,50,51,Centro de Salud El Naranjo,Calle,Aviles,      2,Fuenlabrada,058,431255,4460793
-3.80728603771729,40.2857224427582,51,52,Centro de Salud Francia,Calle,Francia,     38,Fuenlabrada,058,431378,4459783
-3.79808059658083,40.2782185642243,52,47,Centro de Salud Panaderas,Calle,de las Panaderas,      9,Fuenlabrada,058,432153,4458943
-3.83639809373322,40.29684020289,53,46,Centro de Salud Parque Loranca,Calle,Alegr,      2,Fuenlabrada,058,428915,4461040
-3.99734560596061,40.5840835857381,54,53,Centro de Salud Galapagar,Avda,Vvctimas del Terrorismo,      3,Galapagar,061,415596,4493066
-3.73845304964414,40.3256065109909,55,60,Centro de Salud El Bercial,Avenida,del Parque,     12,Getafe,065,437266,4464159
-3.73662734077001,40.2984193981159,56,58,Centro de Salud El Greco,Avenida,Reyes Cat licos,     37,Getafe,065,437396,4461140
-3.71621771462939,40.3222867960407,57,62,Centro de Salud Getafe Norte,Avenida,Rigoberta Mench ,      2,Getafe,065,439152,4463775
-3.72544479027477,40.3056974278841,58,54,Centro de Salud Juan de la Cierva,Avenida,Juan de la Cierva,      0,Getafe,065,438353,4461940
-3.71381539129119,40.3143555388923,59,57,Centro de Salud Las Ciudades,Calle,"Palestina, s/n esq. C/ Francisco Fernrndez Orddaez",      0,Getafe,065,439349,4462893
-3.7298933930486,40.3166696753677,60,55,Centro de Salud Margaritas,Calle,Magallanes,      6,Getafe,065,437985,4463161
-3.65821845644377,40.3240998585812,61,56,Centro de Salud Perales del Rso,Calle,Juan de Mairena,      0,Getafe,065,444081,4463938
-3.72287860260149,40.3133442847961,62,61,Centro de Salud Senchez Morate,Calle,Huelva,      2,Getafe,065,438578,4462787
-3.74844956737523,40.296019143784,63,59,Centro de Salud Sector III,Avenida,Juan Carlos I,      1,Getafe,065,436389,4460882
-3.85156455911357,40.2152410112641,64,63,Centro de Salud Griton,Calle,Calvario,      1,Gri  n,066,427539,4451995
-4.08835705584957,40.6724287176994,65,64,Centro de Salud Guadarrama,Calle,de los Reyes CatGlicos,      2,Guadarrama,068,408015,4502964
-3.82813968435629,40.2545292696201,66,65,Centro de Salud Humanes,Calle,Ferrocarril,      4,Humanes de Madrid,073,429573,4456337
-3.61438815629071,40.864246989786,67,66,Centro de Salud La Cabrera,Plaza,de la Concordia,      2,La Cabrera,030,448223,4523869
-3.8782093995204,40.4896206409197,68,68,Centro de Salud El Abajen Las Rozas,Calle,Principado de Asturias,    30,Las Rozas,127,425574,4482473
-3.92020481676311,40.5155726497843,69,67,Centro de Salud Monterrozas,Calle,Arist,      9,Las Rozas,127,422045,4485390
-3.75698490977705,40.327036297314,70,74,Centro de Salud Dr. Mendiguch a Carriche,Plaza,Comunidad de Madrid,      0,Legan s,074,435693,4464331
-3.77623153105747,40.3209176506999,71,76,Centro de Salud Huerta de los Frailes,Avenida,de los Pinos,     30,Legan3s,074,434052,4463666
-3.74595518196333,40.3302431409499,72,69,Centro de Salud Jaime Vera,Avenida,Europa,      1,Legan s,074,436633,4464679
-3.74827407343189,40.3451473151535,73,77,Centro de Salud Leganes-Norte,Calle,Carrmen Martln Gaite,     16,Legan1s,074,436450,4466335
-3.75275641684224,40.3373973944846,74,71,Centro de Salud Maria Angeles Lrpez G,Calle,Maria Angeles L pez G mez,      2,Legan s,074,436062,4465478
-3.76711211446301,40.3367355007766,75,72,Centro de Salud Maria Angeles Lrpez G,Calle,Jesus Miguel Hadad Blanco,      2,Legan s,074,434842,4465415
-3.74448238717801,40.3376221196645,76,73,Centro de Salud Maria Montessori,Avenida,Portugal,      2,Legan s,074,436765,4465497
-3.7788369806416,40.3601889744713,77,70,Centro de Salud Marie Curie (La Fortuna),Calle,San Bernardo,     13,Legan1s,074,433869,4468027
-3.76688139495686,40.326754889841,78,75,Centro de Salud Santa Isabel,Calle,Isabel la Catulica c/v Calle Velasco,      0,Legan s,074,434852,4464307
-3.71768068001955,40.4724228553387,79,135,Centro de Salud Dr. Castroviejo,Calle,Candido Mateos,     11,Madrid,079,439163,4480441
-3.72738368018417,40.3810738024364,80,183,Centro de Salud Abrantes,Avenida,Abrantes,     55,Madrid,079,438257,4470308
-3.6746042250091,40.4009705011035,81,184,Centro de Salud Adelfas,Avda,Ciudad de Barcelona,    190,Madrid,079,442754,4472481
-3.69373802568372,40.4120825757127,82,146,Centro de Salud Alameda,Calle,Alameda,      5,Madrid,079,441140,4473727
-3.5865538829589,40.4554149445831,83,125,Centro de Salud Alameda de Osuna,Calle,Carabela,      7,Madrid,079,450266,4478471
-3.65718302107776,40.3896382948381,84,87,Centro de Salud Alcald de Guadaira,Calle,Alcal,      4,Madrid,079,444223,4471212
-3.70157599219902,40.3825846207837,85,191,Centro de Salud Almendrales,Calle,Visitacien,      5,Madrid,079,440449,4470458
-3.71433273196675,40.4381193820769,86,149,Centro de Salud Andrns Mellado,Calle,Andres Mellado,     65,Madrid,079,439416,4476631
-3.66407276390743,40.3821484057495,87,88,Centro de Salud Angela Uriarte,Calle,Candilejas,     66,Madrid,079,443632,4470385
-3.61761298441773,40.4187215263274,88,119,Centro de Salud Aquitania,Calle,Aquitania,     22,Madrid,079,447604,4474416
-3.71726511093622,40.4278039228716,89,143,Centro de Salud Argielles,Calle,Quintana,     11,Madrid,079,439158,4475488
-3.65448938364297,40.4120051043372,90,79,Centro de Salud Arroyo de la Medialegua,Calle,Arroyo de la Media Legua,     35,Madrid,079,444470,4473693
-3.60870193358954,40.4056605777029,91,81,Centro de Salud Artilleros,Paseo,Artilleros,     31,Madrid,079,448350,4472961
-3.63716490908453,40.4383632531181,92,195,Centro de Salud Avda. de AragMn,Calle,Alcal,    425,Madrid,079,445961,4476608
-3.58192933644598,40.4716545269578,93,124,Centro de Salud Barajas,Avenida,Logrodo,    319,Madrid,079,450670,4480271
-3.70188163741355,40.4777720967764,94,134,Centro de Salud Barrio del Pilar,Calle,Finisterre,     18,Madrid,079,440507,4481024
-3.66318019409656,40.4424601866483,95,99,Centro de Salud Baviera,Avenida,Baviera,      9,Madrid,079,443758,4477079
-3.65034372649166,40.4649385010412,96,122,Centro de Salud Benita de Avila,Calle,Benita de Avila,     26,Madrid,079,444865,4479566
-3.65358587894507,40.3941452122281,97,92,Centro de Salud Buenos Aires,Calle,Pio Felipe,     26,Madrid,079,444532,4471710
-3.69543385342128,40.4622976388484,98,127,Centro de Salud Bustarviejo,Calle,Bustarviejo,      5,Madrid,079,441040,4479302
-3.69503767052519,40.3986422577424,99,173,Centro de Salud Cuceres,Calle,Caceres,      4,Madrid,079,441018,4472236
-3.78158289648613,40.3939905277248,100,156,Centro de Salud Campamento,Calle,Mirue,      5,Madrid,079,433669,4471781
-3.64787321005925,40.382069125904,101,95,Centro de Salud Campo de la Paloma,Calle,Villalobos,     14,Madrid,079,445007,4470366
-3.65273225190885,40.4411682995848,102,117,Centro de Salud Canal de Panaml,Calle,Verdaguer y GarcCa,     56,Madrid,079,444643,4476929
-3.61435681032471,40.4443155556464,103,120,Centro de Salud Canillejas,Calle,Bolta,      5,Madrid,079,447900,4477255
-3.75407430617665,40.3616503959201,104,139,Centro de Salud Carabanchel Alto,Avenida,de Carabanchel Alto,    150,Madrid,079,435973,4468171
-3.72802786311968,40.40916903194,105,206,Centro de Salud Caramuel,Calle,Fuenteovejuna,     17,Madrid,079,438228,4473427
-3.73129155740929,40.427589922387,106,141,Centro de Salud Casa de Campo,Calle,Ribera del Manzanares,    113,Madrid,079,437968,4475474
-3.68137641171261,40.4286426368381,107,100,Centro de Salud Castell ,Calle,Castelld,     63,Madrid,079,442203,4475557
-3.70713729904452,40.4389474039187,108,150,Centro de Salud Cea Berm,Calle,Cea Bermedez,     10,Madrid,079,440027,4476718
-3.74844992520971,40.4057593453952,109,153,Centro de Salud Cebreros,Calle,Cebreros,     74,Madrid,079,436492,4473063
-3.60375077758824,40.3804340068265,110,97,Centro de Salud Cerro Almodovar,Calle,Fuentespina,      2,Madrid,079,448751,4470158
-3.70281603615492,40.4859195115823,111,133,Centro de Salud Ciudad de los Periodistas,Calle,Valencia de don Juan,     10,Madrid,079,440435,4481929
-3.67048022155937,40.4473189782334,112,103,Centro de Salud Ciudad Jardon,Calle,Pantoja,      3,Madrid,079,443143,4477623
-3.70999594853345,40.3923531337963,113,181,Centro de Salud Comillas,Calle,Eduardo Marquina,     33,Madrid,079,439743,4471548
-3.65826684595718,40.430749508894,114,113,Centro de Salud Daroca,Avenida,Daroca,      4,Madrid,079,444165,4475776
-3.69511961154845,40.404317478447,115,172,Centro de Salud Delicias,Calle,Delicias,      5,Madrid,079,441016,4472866
-3.6370190341794,40.4354000857545,116,114,Centro de Salud Dr. Cirajas,Calle,Doctor Cirajas,     20,Madrid,079,445971,4476279
-3.68924405626608,40.3585774083747,117,176,Centro de Salud El Espinillo,Avenida,Orovilla,     53,Madrid,079,441475,4467785
-3.77691189362878,40.5184717505459,118,137,Centro de Salud El Pardo,Calle,Primero de Octubre,      2,Madrid,079,434187,4485595
-3.70122773959977,40.4341815977843,119,147,Centro de Salud Eloy Gonzalo,Calle,Eloy Gonzalo,     24,Madrid,079,440524,4476185
-3.69939738814003,40.402030406587,120,171,Centro de Salud Embajadores,Calle,Cardenal Solis,      6,Madrid,079,440651,4472615
-3.6240887008343,40.3681546992488,121,204,Centro de Salud Ensanche de Vallecas,Calle,Cincovillas,      1,Madrid,079,447015,4468807
-3.66980449361254,40.3792054064503,122,91,Centro de Salud Entrevhas,Calle,Pedroches,      0,Madrid,079,443143,4470062
-3.69668322536995,40.4405153832101,123,151,Centro de Salud Espronceda,Calle,Espronceda,     24,Madrid,079,440915,4476885
-3.64800398625556,40.4399426464119,124,116,Centro de Salud Estrecho de Corea,Calle,Estrecho de Corea,      1,Madrid,079,445043,4476790
-3.63971355194059,40.3875290283457,125,94,Centro de Salud Federica Montseny,Avenida,Albufera,    285,Madrid,079,445704,4470967
-3.68584854192787,40.4916700515554,126,131,Centro de Salud Fuencarral,Calle,Ntra. Sra. de Valverde C/V. Isla de Java,      0,Madrid,079,441878,4482556
-3.73384274815269,40.4822312032773,127,136,Centro de Salud Fuentelarreina,Calle,Alfonso Rodrlguez Castelao,     17,Madrid,079,437802,4481541
-3.63155892191689,40.425186761754,128,115,Centro de Salud Gandhi,Calle,Gandhi,     30,Madrid,079,446426,4475142
-3.62780533467896,40.4233963859874,129,118,Centro de Salud Garcha Noblejas,Calle,Hermanos Garcua Noblejas,    168,Madrid,079,446743,4474941
-3.77733175185928,40.3819110046104,130,160,Centro de Salud General Fanjul,Avenida,General Fanjul,     18,Madrid,079,434018,4470437
-3.72820528274364,40.390636276884,131,179,Centro de Salud General Ricardos,Calle,General Ricardos,    131,Madrid,079,438196,4471370
-3.67152084611775,40.4215381170566,132,98,Centro de Salud Goya,Calle,O'Donnell,     55,Madrid,079,443033,4474762
-3.74795982880254,40.3731857190519,133,180,Centro de Salud Guayaba,Calle,Antonia Rodrlguez Sacristin,      4,Madrid,079,436503,4469447
-3.71358822871566,40.4312681221481,134,148,Centro de Salud Guzmcn el Bueno,Calle,Guzmen El Bueno,     11,Madrid,079,439473,4475870
-3.67799739643174,40.4185183238094,135,157,Centro de Salud Ibiza,Calle,Ibiza,      7,Madrid,079,442481,4474431
-3.69946576683525,40.4530120781516,136,198,Centro de Salud Infanta Mercedes,Calle,Infanta Mercedes,      7,Madrid,079,440690,4478274
-3.7269273635859,40.4678696020453,137,165,Centro de Salud Isla de Oza,Calle,San Martin de Porres,      6,Madrid,079,438375,4479942
-3.66318310620625,40.4823339348192,138,169,Centro de Salud Jazm,Calle,Jazmen,     33,Madrid,079,443791,4481505
-3.70975153711489,40.3814176031424,139,90,Centro de Salud Joaqunn Rodrigo,Calle,Mariano Vela,     62,Madrid,079,439754,4470334
-3.66160014798831,40.3714507386879,140,130,Centro de Salud Josq MarRa Llanos,Calle,Cabo Machichaco,     62,Madrid,079,443833,4469196
-3.69673124040924,40.4634339654783,141,167,Centro de Salud Josq Marva,Calle,Bravo Murillo,    317,Madrid,079,440931,4479429
-3.69677689454479,40.4244607442615,142,186,Centro de Salud Justicia,Calle,Regueros,      3,Madrid,079,440893,4475103
-3.6988781736257,40.471420966097,143,112,Centro de Salud La Ventilla,Avenida,Asturias,     61,Madrid,079,440756,4480317
-3.68420564097002,40.4356079215676,144,158,Centro de Salud Lagasca,Calle,Lagasca,    122,Madrid,079,441969,4476332
-3.76848410630157,40.3787809279766,145,168,Centro de Salud Las sguilas I y II,Calle,Jose de Cadalso,     51,Madrid,079,434766,4470083
-3.70564649129816,40.3899382972421,146,190,Centro de Salud Las Calesas,Calle,Calesas,     12,Madrid,079,440110,4471277
-3.69900454669716,40.4164562800524,147,144,Centro de Salud Cortes,Carrera,San Jer,     32,Madrid,079,440697,4474216
-3.70385123959041,40.4076250343129,148,201,Centro de Salud Lavapi,Calle,Embajadores,     41,Madrid,079,440278,4473239
-3.69164567388523,40.3895994616294,149,170,Centro de Salud Legazpi,Calle,Antracita,      2,Madrid,079,441298,4471230
-3.72044985887378,40.4136039050431,150,166,Centro de Salud Linneo,Calle,Linneo,      3,Madrid,079,438875,4473914
-3.66599976475227,40.4318493664191,151,189,Centro de Salud Londres,Calle,Londres,     55,Madrid,079,443510,4475903
-3.60458770632995,40.4279075422783,152,121,Centro de Salud Los Alpes,Calle,Suecia,     62,Madrid,079,448716,4475428
-3.69849690778164,40.3513686388823,153,152,Centro de Salud Los Angeles,Calle,Totanes,      1,Madrid,079,440683,4466991
-3.73736855818254,40.3968034728017,154,161,Centro de Salud Los Cnrmenes,Calle,Via Carpetana,    202,Madrid,079,437424,4472061
-3.68789292688939,40.3530988855883,155,109,Centro de Salud Los Rosales,Calle,Diamante,     12,Madrid,079,441585,4467176
-3.75369707796812,40.395445932949,156,199,Centro de Salud Los Yobenes,Calle,Yabenes,     46,Madrid,079,436037,4471922
-3.75065196509909,40.4013576639326,157,203,Centro de Salud Lucero,Calle,Latina,     14,Madrid,079,436301,4472576
-3.76596530843562,40.3966536096421,158,123,Centro de Salud Maqueda,Calle,Seseea,     44,Madrid,079,434997,4472065
-3.64234768253622,40.4724967036715,159,164,Centro de Salud Mar Bdltico,Calle,Mar B,      2,Madrid,079,445549,4480400
-3.71381986590795,40.4576270165062,160,110,Centro de Salud Maria Auxiliadora,Calle,Maria Auxiliadora,      3,Madrid,079,439477,4478796
-3.70185933384052,40.4030695491589,161,86,Centro de Salud Martan de Vargas,Calle,Marten de Vargas,     15,Madrid,079,440443,4472732
-3.66552369740718,40.3919149379013,162,111,Centro de Salud Martanez de la Riva,Calle,Martenez de la Riva,     57,Madrid,079,443517,4471470
-3.71878601505799,40.4908933182465,163,200,Centro de Salud Mirasierra,Calle,Mirador de la Reina,    117,Madrid,079,439086,4482492
-3.65683541231484,40.4774783193337,164,138,Centro de Salud Monovar,Calle,Monovar,     11,Madrid,079,444325,4480962
-3.67196527306822,40.4306616901042,165,162,Centro de Salud Montesa,Calle,Montesa,     38,Madrid,079,443003,4475775
-3.74876918541938,40.3792616173958,166,108,Centro de Salud Nuestra Se,Avenida,Ntra. Sra. de F tima,     93,Madrid,079,436440,4470122
-3.65818654523693,40.4019480112692,167,107,Centro de Salud Numancia,Calle,Puerto de Cotos,      2,Madrid,079,444148,4472579
-3.68528086337922,40.4683402367459,168,192,Centro de Salud Numez Morgado,Calle,Nalez Morgado,      4,Madrid,079,441906,4479966
-3.71408989662774,40.3727781945205,169,194,Centro de Salud Orcasitas,Calle,Cestona,      3,Madrid,079,439378,4469378
-3.70056062732927,40.3653113047199,170,84,Centro de Salud Orcasur,Calle,Arenas del Rey,      1,Madrid,079,440520,4468540
-3.67704275337777,40.407947286268,171,163,Centro de Salud Pacafico,Calle,Reyes Magos,     21,Madrid,079,442553,4473257
-3.70736194667569,40.4266307037268,172,196,Centro de Salud Palma-Universidad,Calle,Palma,     59,Madrid,079,439997,4475351
-3.69889930107433,40.3971685203171,173,154,Centro de Salud Parroco Julio Morate,Calle,Parroco Julio Morate,      3,Madrid,079,440689,4472075
-3.74330142575351,40.4059006666642,174,155,Centro de Salud Pascual Rodroguez,Calle,Pascual Rodrlguez,     21,Madrid,079,436929,4473075
-3.71441855800662,40.4016592898179,175,205,Centro de Salud Paseo Imperial,Calle,Toledo,    180,Madrid,079,439376,4472584
-3.62897211338117,40.3993178013887,176,85,Centro de Salud Pavones,Calle,Hacienda de Pavones,    271,Madrid,079,446625,4472269
-3.66791007948511,40.3985138480501,177,187,Centro de Salud Pesa Prieta-Especialidades,Calle,Altos de Cabrejas,      4,Madrid,079,443320,4472204
-3.70978035761862,40.3504801122974,178,177,Centro de Salud Potes,Calle,Potes,      0,Madrid,079,439724,4466900
-3.67943525168445,40.4571495588525,179,106,Centro de Salud Potos,Calle,Potos,      7,Madrid,079,442392,4478720
-3.67922743916453,40.4400246693753,180,104,Centro de Salud Prtncipe de Vergara,Calle,Prlncipe de Vergara,    111,Madrid,079,442395,4476819
-3.66952838235346,40.4440902611382,181,101,Centro de Salud Prosperidad,Calle,Canillas,     99,Madrid,079,443221,4477264
-3.73286065958219,40.3842374471945,182,182,Centro de Salud Puerta Bonita,Calle,Alegria,     24,Madrid,079,437795,4470663
-3.73529581692181,40.4109879112966,183,80,Centro de Salud Puerta del Angel,Paseo,Extremadura,    113,Madrid,079,437613,4473634
-3.7178656265976,40.3977910695431,184,178,Centro de Salud Quince de Mayo,Paseo,Quince de Mayo,     10,Madrid,079,439080,4472157
-3.63912522537971,40.3888566201022,185,93,Centro de Salud Rafael Alberti,Calle,San Claudio,    154,Madrid,079,445755,4471114
-3.70752667252242,40.4468459154085,186,128,Centro de Salud Reina Victoria,Avenida,Reina Victoria,     21,Madrid,079,440001,4477595
-3.59268525263891,40.4431764420303,187,197,Centro de Salud Rejas,Calle,Euterpe,     12,Madrid,079,449737,4477116
-3.71251183002292,40.3426073405387,188,174,Centro de Salud San Andrcs,Calle,Alberto Palacios,     22,Madrid,079,439485,4466028
-3.685146056235,40.343484405169,189,175,Centro de Salud San Cristobal,Calle,Benimamet,     24,Madrid,079,441810,4466107
-3.69303825986966,40.3714287748162,190,193,Centro de Salud San Fermtn,Avenida,de San Ferman,      3,Madrid,079,441164,4469214
-3.65733543620737,40.4936645603301,191,188,Centro de Salud Sanchinarro,Calle,Ana de Austria,     26,Madrid,079,444296,4482759
-3.66992768368612,40.4451149749012,192,102,Centro de Salud Santa Hortensia,Calle,Santa Hortensia,     14,Madrid,079,443188,4477378
-3.70989040200918,40.4137142670875,193,145,Centro de Salud Segovia,Calle,Segovia,      4,Madrid,079,439771,4473919
-3.68536666573166,40.4512496894742,194,105,Centro de Salud Segre,Calle,Segre,     27,Madrid,079,441884,4478069
-3.63500474188789,40.4631589265168,195,202,Centro de Salud Silvano,Avenida,Machu Pichu,     58,Madrid,079,446164,4479359
-3.64623134231813,40.4062677317316,196,78,Centro de Salud Torito,Calle,Camino de los Vinateros,    140,Madrid,079,445166,4473051
-3.6220969341002,40.4000396861716,197,83,Centro de Salud Valdebernardo,Bulevar,Indalecio Prieto,     26,Madrid,079,447209,4472345
-3.71140864630011,40.4638400546869,198,140,Centro de Salud Valdezarza-Sur,Calle,Azuaga,     13,Madrid,079,439687,4479484
-3.77456893770929,40.3762358069263,199,159,Centro de Salud Valle Incl-n,Calle,Valle InclSn,     97,Madrid,079,434247,4469805
-3.71351284078637,40.4252505609471,200,142,Centro de Salud Ventura Rodr,Calle,Ventura Rodriguez,      7,Madrid,079,439474,4475202
-3.66116570341454,40.4582915360241,201,185,Centro de Salud Vicente Muzas,Calle,Vicente Muzas,      8,Madrid,079,443942,4478835
-3.66710858047263,40.388941813259,202,89,Centro de Salud Vicente Soldevilla,Calle,Sierra de Alquife,      8,Madrid,079,443380,4471141
-3.62216678421113,40.3717777193686,203,96,Centro de Salud Villa de Vallecas,Calle,Fuentidue a,     12,Madrid,079,447181,4469208
-3.7063097745083,40.4578893660823,204,129,Centro de Salud Villaamil,Calle,Villaamil,     19,Madrid,079,440114,4478820
-3.59926245852248,40.4057008769617,205,82,Centro de Salud Villablanca,Calle,Villablanca,     81,Madrid,079,449151,4472960
-3.6849944003502,40.484260760924,206,132,Centro de Salud Virgen de Begoca,Avenida,del Llano Castellano,      3,Madrid,079,441944,4481733
-3.66336715850006,40.4878463555473,207,126,Centro de Salud Virgen del Cortijo,Avenida,Manoteras,     47,Madrid,079,443780,4482117
-3.7816918932263,40.4563591250723,208,207,Centro de Salud Aravaca,Calle,Riaza,      5,Madrid (Aravaca),079,433721,4478704
-3.86837152904379,40.4770375002994,209,208,Centro de Salud Cerro del Aire,Avenida,Espaia,      7,Majadahonda,080,426394,4481068
